observation_date,MNSTHPI
1975-01-01,56.18
1975-04-01,56.05
1975-07-01,58.45
1975-10-01,60.21
1976-01-01,63.01
1976-04-01,62.51
1976-07-01,63.20
1976-10-01,64.69
1977-01-01,66.84
1977-04-01,68.98
1977-07-01,73.15
1977-10-01,75.08
1978-01-01,76.58
1978-04-01,82.27
1978-07-01,85.61
1978-10-01,87.75
1979-01-01,91.48
1979-04-01,94.61
1979-07-01,97.59
1979-10-01,99.33
1980-01-01,100.00
1980-04-01,102.75
1980-07-01,106.81
1980-10-01,104.94
1981-01-01,101.08
1981-04-01,100.13
1981-07-01,103.72
1981-10-01,106.77
1982-01-01,89.45
1982-04-01,91.78
1982-07-01,98.68
1982-10-01,106.02
1983-01-01,109.81
1983-04-01,111.63
1983-07-01,111.50
1983-10-01,109.29
1984-01-01,113.53
1984-04-01,113.60
1984-07-01,115.51
1984-10-01,115.67
1985-01-01,116.75
1985-04-01,118.21
1985-07-01,115.37
1985-10-01,119.86
1986-01-01,121.27
1986-04-01,120.37
1986-07-01,124.01
1986-10-01,123.85
1987-01-01,126.78
1987-04-01,129.01
1987-07-01,130.39
1987-10-01,129.50
1988-01-01,131.72
1988-04-01,133.58
1988-07-01,133.55
1988-10-01,134.37
1989-01-01,134.81
1989-04-01,136.61
1989-07-01,138.62
1989-10-01,139.38
1990-01-01,139.43
1990-04-01,139.41
1990-07-01,140.23
1990-10-01,140.16
1991-01-01,142.18
1991-04-01,143.28
1991-07-01,143.64
1991-10-01,146.15
1992-01-01,146.88
1992-04-01,147.70
1992-07-01,149.41
1992-10-01,150.38
1993-01-01,151.68
1993-04-01,153.14
1993-07-01,155.09
1993-10-01,156.73
1994-01-01,157.66
1994-04-01,160.47
1994-07-01,161.77
1994-10-01,162.26
1995-01-01,163.87
1995-04-01,166.96
1995-07-01,169.97
1995-10-01,172.09
1996-01-01,174.45
1996-04-01,175.66
1996-07-01,177.35
1996-10-01,179.34
1997-01-01,181.55
1997-04-01,183.46
1997-07-01,186.84
1997-10-01,189.47
1998-01-01,192.64
1998-04-01,194.02
1998-07-01,198.02
1998-10-01,200.32
1999-01-01,203.61
1999-04-01,209.70
1999-07-01,216.34
1999-10-01,219.17
2000-01-01,225.42
2000-04-01,232.11
2000-07-01,237.89
2000-10-01,242.49
2001-01-01,248.91
2001-04-01,255.61
2001-07-01,263.34
2001-10-01,266.83
2002-01-01,272.38
2002-04-01,279.67
2002-07-01,285.72
2002-10-01,290.11
2003-01-01,294.13
2003-04-01,297.54
2003-07-01,304.48
2003-10-01,315.48
2004-01-01,319.26
2004-04-01,325.53
2004-07-01,336.48
2004-10-01,341.39
2005-01-01,348.05
2005-04-01,355.14
2005-07-01,361.65
2005-10-01,365.65
2006-01-01,367.50
2006-04-01,365.55
2006-07-01,365.82
2006-10-01,369.75
2007-01-01,371.73
2007-04-01,367.69
2007-07-01,360.07
2007-10-01,358.65
2008-01-01,360.21
2008-04-01,349.13
2008-07-01,338.63
2008-10-01,337.63
2009-01-01,343.57
2009-04-01,333.60
2009-07-01,320.17
2009-10-01,315.88
2010-01-01,311.15
2010-04-01,308.28
2010-07-01,315.24
2010-10-01,311.11
2011-01-01,298.19
2011-04-01,291.37
2011-07-01,295.12
2011-10-01,298.05
2012-01-01,292.58
2012-04-01,290.62
2012-07-01,295.28
2012-10-01,298.56
2013-01-01,299.71
2013-04-01,305.28
2013-07-01,311.64
2013-10-01,311.93
2014-01-01,313.82
2014-04-01,321.74
2014-07-01,324.88
2014-10-01,326.00
2015-01-01,326.88
2015-04-01,333.82
2015-07-01,338.78
2015-10-01,339.58
2016-01-01,341.58
2016-04-01,349.28
2016-07-01,354.68
2016-10-01,356.54
2017-01-01,360.04
2017-04-01,370.50
2017-07-01,375.65
2017-10-01,376.94
2018-01-01,382.40
2018-04-01,391.10
2018-07-01,395.78
2018-10-01,395.04
2019-01-01,399.82
2019-04-01,407.34
2019-07-01,411.98
2019-10-01,414.34
2020-01-01,418.30
2020-04-01,421.69
2020-07-01,430.50
2020-10-01,438.34
2021-01-01,445.14
2021-04-01,468.80
2021-07-01,491.36
2021-10-01,499.77
2022-01-01,510.91
2022-04-01,543.25
2022-07-01,542.20
2022-10-01,533.16
2023-01-01,536.37
2023-04-01,559.66
2023-07-01,561.95
2023-10-01,555.81
2024-01-01,563.76
2024-04-01,580.05
2024-07-01,584.84
2024-10-01,583.49
